mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
6.860;0.136;0.029;0.003;1.0;reg:squarederror;200;10;7;0.01;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.014;-0.007;-0.007;0.010;-0.004;0.009;45
7.413;0.035;0.047;0.022;1.0;reg:squarederror;200;5;9;0.01;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.014;-0.005;-0.009;0.009;-0.004;0.009;46
5.248;0.069;0.023;0.002;1.0;reg:squarederror;200;1;5;0.01;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.013;0.001;-0.014;0.008;-0.004;0.009;47
7.763;0.140;0.051;0.014;0.5;reg:squarederror;200;1;9;0.01;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.015;0.001;-0.009;0.005;-0.005;0.008;48
9.488;0.162;0.038;0.016;0.7;reg:squarederror;200;1;7;0.01;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.016;-0.005;-0.009;0.011;-0.005;0.010;49
2.797;0.080;0.017;0.002;0.7;reg:squarederror;200;3;3;0.05;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.008;0.001;-0.013;-0.000;-0.005;0.006;50
1.284;0.009;0.009;0.001;0.7;reg:squarederror;100;10;3;0.1;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7};-0.008;-0.003;-0.010;0.001;-0.005;0.004;51
1.829;0.057;0.008;0.000;1.0;reg:squarederror;100;5;3;0.1;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0};-0.020;-0.000;-0.014;0.010;-0.006;0.012;52
7.680;0.194;0.040;0.004;1.0;reg:squarederror;200;1;9;0.01;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.014;-0.008;-0.016;0.012;-0.007;0.011;53
2.708;0.078;0.022;0.002;0.5;reg:squarederror;200;10;5;0.05;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.007;0.001;-0.010;-0.012;-0.007;0.005;54
